                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     53,                 1.0088,                 0.7866,                 1.0578,                0.87479,                0.98236,                 0.9203,                0.67527,                 1.0488,                0.67289,                 1.0222,              0.0002523,              0.0002523,              0.0002523
                     54,                 1.0072,                0.79378,                 1.0163,                0.87112,                0.98251,                0.95713,                0.70516,                 1.0401,                 0.6476,                 1.0185,             0.00025191,             0.00025191,             0.00025191
                     55,                 1.0001,                0.70938,                 1.0399,                0.87112,                0.98251,                0.95713,                0.70516,                 1.0401,                 0.6476,                 1.0185,             0.00025132,             0.00025132,             0.00025132
                     56,                 1.0027,                 0.7294,                 1.0427,                0.87112,                0.98251,                0.95713,                0.70516,                 1.0401,                 0.6476,                 1.0185,             0.00025052,             0.00025052,             0.00025052
                     57,                0.97928,                0.71505,                 1.0421,                0.87704,                0.99571,                0.99254,                0.73567,                 1.0316,                0.63462,                  1.018,             0.00024954,             0.00024954,             0.00024954
                     58,                 1.0433,                0.73493,                  1.003,                0.87704,                0.99571,                0.99254,                0.73567,                 1.0316,                0.63462,                  1.018,             0.00024835,             0.00024835,             0.00024835
                     59,                 1.0094,                0.68113,                 1.0059,                0.87704,                0.99571,                0.99254,                0.73567,                 1.0316,                0.63462,                  1.018,             0.00024696,             0.00024696,             0.00024696
                     60,                 1.0002,                0.73802,                 1.0076,                0.89898,                0.99003,                0.98489,                0.71913,                 1.0459,                0.62768,                 1.0245,             0.00024538,             0.00024538,             0.00024538
                     61,                0.98856,                0.66354,                0.99259,                0.89898,                0.99003,                0.98489,                0.71913,                 1.0459,                0.62768,                 1.0245,              0.0002436,              0.0002436,              0.0002436
                     62,                0.98183,                0.65549,                 1.0271,                0.89898,                0.99003,                0.98489,                0.71913,                 1.0459,                0.62768,                 1.0245,             0.00024162,             0.00024162,             0.00024162
                     63,                 1.0354,                0.75559,                 1.0737,                0.87542,                0.98408,                0.97674,                0.69933,                 1.0562,                0.61173,                 1.0225,             0.00023944,             0.00023944,             0.00023944
                     64,                0.98989,                0.62192,                 1.0158,                0.87542,                0.98408,                0.97674,                0.69933,                 1.0562,                0.61173,                 1.0225,             0.00023707,             0.00023707,             0.00023707
                     65,                  1.008,                 0.6215,                 1.0294,                0.87542,                0.98408,                0.97674,                0.69933,                 1.0562,                0.61173,                 1.0225,              0.0002345,              0.0002345,              0.0002345
                     66,                0.97121,                 0.6573,                 1.0227,                0.86868,                0.99763,                0.98135,                0.68939,                 1.0693,                0.59472,                 1.0215,             0.00023172,             0.00023172,             0.00023172
                     67,                 1.0215,                0.73204,                 1.0269,                0.86868,                0.99763,                0.98135,                0.68939,                 1.0693,                0.59472,                 1.0215,             0.00022876,             0.00022876,             0.00022876
                     68,                0.99665,                0.75013,                 1.0608,                0.86868,                0.99763,                0.98135,                0.68939,                 1.0693,                0.59472,                 1.0215,             0.00022559,             0.00022559,             0.00022559
                     69,                 1.0105,                0.63867,                 1.0349,                0.88167,                 0.9955,                 0.9815,                0.68808,                   1.07,                0.59633,                 1.0236,             0.00022222,             0.00022222,             0.00022222
                     70,                0.98557,                0.66191,                 1.0298,                0.88167,                 0.9955,                 0.9815,                0.68808,                   1.07,                0.59633,                 1.0236,             0.00021866,             0.00021866,             0.00021866
                     71,                 1.0273,                0.66641,                 1.0073,                0.88167,                 0.9955,                 0.9815,                0.68808,                   1.07,                0.59633,                 1.0236,              0.0002149,              0.0002149,              0.0002149
                     72,                0.96283,                 0.6417,                 1.0446,                0.88078,                 0.9944,                0.98048,                0.69636,                 1.0677,                0.60194,                 1.0232,             0.00021094,             0.00021094,             0.00021094
